"","epoch","total","total_correct","1.1_total","1.1_correct","1.2_total","1.2_correct","1.3_total","1.3_correct","1.4_total","1.4_correct","1.5_total","1.5_correct","1.6_total","1.6_correct","1.7_total","1.7_correct","1.8_total","1.8_correct","1.9_total","1.9_correct","2.0_total","2.0_correct","2.1_total","2.1_correct","2.2_total","2.2_correct","2.3_total","2.3_correct","2.4_total","2.4_correct","2.5_total","2.5_correct","2.6_total","2.6_correct","2.7_total","2.7_correct","2.8_total","2.8_correct","2.9_total","2.9_correct","3.0_total","3.0_correct"
"1",1,2000,1044,100,50,190,95,150,75,160,81,160,81,100,51,110,55,110,56,90,48,160,84,40,23,80,42,70,42,80,45,80,41,50,28,60,32,60,32,50,30,100,53
"2",2,2000,1734,100,60,190,132,150,102,160,119,160,138,100,85,110,97,110,108,90,89,160,151,40,39,80,77,70,69,80,79,80,79,50,49,60,58,60,59,50,50,100,94
"3",3,2000,1433,100,56,190,110,150,89,160,106,160,105,100,65,110,70,110,89,90,65,160,128,40,27,80,62,70,56,80,68,80,67,50,40,60,51,60,49,50,43,100,87
"4",4,2000,1508,100,57,190,109,150,94,160,108,160,115,100,65,110,75,110,94,90,72,160,131,40,35,80,67,70,62,80,72,80,69,50,44,60,52,60,53,50,44,100,90
"5",5,2000,1594,100,53,190,113,150,89,160,102,160,113,100,73,110,87,110,92,90,76,160,146,40,38,80,76,70,69,80,77,80,78,50,49,60,60,60,58,50,50,100,95
"6",6,2000,1001,100,50,190,95,150,75,160,80,160,80,100,50,110,55,110,55,90,45,160,80,40,20,80,40,70,35,80,40,80,40,50,25,60,30,60,30,50,25,100,51
"7",7,2000,1508,100,53,190,109,150,91,160,102,160,107,100,72,110,85,110,88,90,69,160,135,40,33,80,66,70,62,80,72,80,74,50,41,60,56,60,53,50,47,100,93
"8",8,2000,1017,100,52,190,101,150,77,160,79,160,82,100,54,110,51,110,58,90,43,160,79,40,26,80,37,70,36,80,41,80,42,50,22,60,26,60,33,50,22,100,56
"9",9,2000,1414,100,51,190,114,150,88,160,101,160,108,100,68,110,75,110,87,90,67,160,124,40,28,80,59,70,54,80,65,80,69,50,36,60,45,60,49,50,40,100,86
"10",10,2000,1633,100,53,190,105,150,92,160,108,160,118,100,82,110,90,110,101,90,81,160,151,40,39,80,74,70,69,80,79,80,79,50,49,60,57,60,60,50,50,100,96
"11",11,2000,1170,100,49,190,103,150,86,160,86,160,84,100,56,110,67,110,61,90,51,160,97,40,24,80,50,70,46,80,55,80,48,50,29,60,40,60,39,50,31,100,68
"12",12,2000,1334,100,60,190,109,150,87,160,99,160,99,100,65,110,75,110,69,90,60,160,112,40,31,80,54,70,53,80,65,80,54,50,41,60,46,60,40,50,43,100,72
"13",13,2000,1428,100,55,190,108,150,87,160,98,160,109,100,71,110,74,110,80,90,66,160,117,40,37,80,66,70,64,80,64,80,57,50,46,60,48,60,51,50,49,100,81
"14",14,2000,1397,100,57,190,108,150,89,160,95,160,101,100,61,110,67,110,82,90,66,160,116,40,29,80,68,70,59,80,66,80,60,50,45,60,49,60,51,50,42,100,86
"15",15,2000,1577,100,57,190,113,150,95,160,107,160,115,100,77,110,90,110,95,90,73,160,137,40,37,80,75,70,65,80,73,80,72,50,47,60,56,60,55,50,48,100,90
"16",16,2000,1530,100,57,190,109,150,93,160,109,160,110,100,81,110,85,110,85,90,72,160,131,40,36,80,66,70,66,80,70,80,67,50,48,60,55,60,55,50,48,100,87
"17",17,2000,1634,100,53,190,117,150,98,160,113,160,122,100,82,110,96,110,95,90,81,160,135,40,39,80,77,70,68,80,73,80,75,50,48,60,59,60,58,50,50,100,95
"18",18,2000,1769,100,53,190,126,150,112,160,136,160,143,100,90,110,100,110,107,90,86,160,152,40,40,80,79,70,70,80,79,80,79,50,50,60,59,60,59,50,50,100,99
"19",19,2000,1711,100,53,190,117,150,97,160,119,160,132,100,83,110,101,110,104,90,87,160,153,40,40,80,79,70,70,80,79,80,80,50,50,60,60,60,60,50,50,100,97
"20",20,2000,1817,100,53,190,143,150,126,160,139,160,147,100,92,110,104,110,108,90,87,160,153,40,40,80,80,70,70,80,79,80,79,50,50,60,59,60,59,50,50,100,99
